leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,page
0cbbf15f-11b9-49b0-b32a-fce1d0e44fcd,RANKED_SOLO_5x5,DIAMOND,I,89h9Xgm0NjCinmKjnfm7Hr_NzX2aQJApb_XWTigtSSUDBYWG,Naape,75,183,184,False,False,True,False,1
dd0d9cee-1954-45fd-bf9c-8a1f4ec50147,RANKED_SOLO_5x5,DIAMOND,I,ZQWUT_Yta-HvZbjrAOW5G-4FNuV1C2lkkdMjCvJwjsI,scarra,68,57,42,False,False,False,True,1
683d3966-b680-48a6-869d-2c88612e5304,RANKED_SOLO_5x5,DIAMOND,I,djZFPrTF4Yp8TXbT9PkQ-kKcuLNf4DtG1W93wb7mRusnMkp8,The EarRæper,70,93,97,False,False,False,False,1
ffb951e3-9d5c-41d7-87d4-658f1c4f29f8,RANKED_SOLO_5x5,DIAMOND,I,aeK11fw9wEl-VWRjJZFWo5RboqXHgpzkuf2lFOaROgIEy98g,1v9 each game,31,182,180,False,False,False,False,1
0cbbf15f-11b9-49b0-b32a-fce1d0e44fcd,RANKED_SOLO_5x5,DIAMOND,I,ApLw04JpJPT7PlFb3Pqa3FKYAN3l6BohsDet9syT50RACfLI,Ouipet,98,126,116,False,False,True,False,1
8d009a19-3a0d-4fd2-b8db-2174bff27162,RANKED_SOLO_5x5,DIAMOND,I,kjdKsm4_-jhqkus3VPLNuyGB5GsGd1fDKlleioYI3WJ_Nfug,Asaka Narumi,3,19,12,False,False,False,False,1
f08e0de7-31d7-494e-add2-d46570d95d63,RANKED_SOLO_5x5,DIAMOND,I,rCrmI-Yn5J3FyhlW89y3zKDSSDw0U5s3h20h4t0ZHpQOJWMM,BBOOMMBBOOMM,5,21,19,False,False,True,True,1
047d396a-aa6f-4b77-9632-17a0f52c5418,RANKED_SOLO_5x5,DIAMOND,I,53KzkOW_iolkWoWILBS1lPrURkgilxkzO_oyBszCfD0V0CiF,jumpy rat,46,100,97,False,False,True,False,1
9527ca62-5d81-425f-96e9-7f1281922624,RANKED_SOLO_5x5,DIAMOND,I,2g4fIbUosJG_f-CAdBE5zNN7jonYMNrjJu4jwfP04a49eicA,Baul,50,55,56,False,False,True,False,1
9253a943-7ef2-4749-a40a-f9a3563ed41b,RANKED_SOLO_5x5,DIAMOND,I,cdde44_vSDb9DSWcTb7MBErDLta6kIXFa0VGBZcpxVe9fIKu,YEAROFTHESNITCH,20,47,50,False,False,False,False,1
511dc3ad-306b-4695-9ece-2366d60c3f3f,RANKED_SOLO_5x5,DIAMOND,I,zF0ot6TqBIoHdVU2Crpt4Dj4KMXjfb_uYFM3jZhN7L1Xamx5,xyz333,75,22,12,False,False,False,False,1
bea211e7-9bde-40b5-b097-fdf3dece5144,RANKED_SOLO_5x5,DIAMOND,I,lNm4z8Iae5V0weyw99KjJ1p1TTji8FNsdRv6iJqObKVjE__e,1Kat2Dawg,82,22,12,False,False,False,False,1
cb4f06bd-23cd-46c6-b92c-93edc2203b09,RANKED_SOLO_5x5,DIAMOND,I,kufd4F6_8j1UAmQByiGJg2SlquPDKSkgUYwJd-n_QXHAGp_K,YasSus,5,67,62,False,False,False,False,1
ffb951e3-9d5c-41d7-87d4-658f1c4f29f8,RANKED_SOLO_5x5,DIAMOND,I,BI1r7Hv4OrX4qPw-hUyDjb08JgfB4a_dqkxwZGRcEzaSnGmS,Asyc,26,21,14,False,False,False,False,1
b3424985-0166-413b-9cdd-11a729438681,RANKED_SOLO_5x5,DIAMOND,I,ogyjY5_gKM3w5Yw3UteqxTuRhWkrCMNZvTW6sAI-GIFr3KQ0,Barou Shouei,70,20,14,False,False,False,False,1
